program,routeOrSite,stationOrPoint,latitude,longitude,region,basin,percWetlandAndOpenwater250m,percWetland2500m,percUrban2500m,percAg2500m
glmmp,ON575,B,44.12430555999994,-77.2075,southern,ontario,52.03252032520326,18.158810503005377,2.3365119537216974,41.16690016721652
glmmp,ON575,C,44.12877778000003,-77.19952778,southern,ontario,70.6896551724138,15.388098904084774,2.418259215650756,36.99393170908432
glmmp,ON575,D,44.13179999999999,-77.19688,southern,ontario,83.33333333333333,13.59815618221258,2.282176428054953,34.164859002169194
glmmp,ON575,E,44.12594443999998,-77.19705556,southern,ontario,92.56198347107437,16.887462133200703,2.405389519374237,40.07324682371027
glmmp,ON575,F,44.12469444000002,-77.20005556,southern,ontario,100,17.415882778581764,2.2250361794500724,40.99583936324168
glmmp,ON575,G,44.12399999999998,-77.20361111,southern,ontario,95.96774193548387,17.984279002529817,2.2361763642934585,41.37603903144199
glmmp,ON575,H,44.12177778000008,-77.20786111,southern,ontario,93.14516129032258,19.228162140178046,2.367933480952596,43.67571964390619
glmmp,ON576,A,44.103027780000005,-77.24275,southern,ontario,55.83333333333334,24.242287161856513,1.9723152085406679,51.49733104134624
glmmp,ON576,B,44.10461111000005,-77.24,southern,ontario,45.689655172413794,24.870982344952466,1.9827976459936625,52.00543232231779
glmmp,ON576,C,44.10588889000001,-77.23608333,southern,ontario,52.631578947368425,25.135574837310195,2.2053506869125092,51.57718727404195
glmmp,ON576,D,44.10769444,-77.22902778,southern,ontario,85.9504132231405,22.693977211068912,2.9028757460661967,50.04973774642792
glmmp,ON576,E,44.11352778000001,-77.22338889,southern,ontario,54.506437768240346,19.565315825220736,2.644328729907177,50.781073126556485
glmmp,ON576,F,44.115833329999994,-77.22127778,southern,ontario,46.774193548387096,18.81438640881981,2.5619013193565876,49.07825772636906
glmmp,ON576,G,44.12019443999994,-77.21411111,southern,ontario,52.22672064777327,19.575141242937853,2.2870056497175146,44.92655367231638
glmmp,ON577,A,44.17791667,-76.93022222,southern,ontario,100,25.323032438781965,0.8041926447998554,31.54423059546399
glmmp,ON577,B,44.18061111000001,-76.92897222,southern,ontario,100,26.38882610857479,0.9808796275369523,36.812367219635675
glmmp,ON577,C,44.18058332999992,-76.92508333,southern,ontario,100,26.824082869679287,0.9544488171167504,36.816392997693036
glmmp,ON577,D,44.18474999999997,-76.92113889,southern,ontario,100,27.192149414371638,1.239090127979017,46.511102066657614
glmmp,ON577,E,44.18588888999997,-76.92647222000001,southern,ontario,100,28.038861274288294,1.238138273836421,46.94532309082693
glmmp,ON577,F,44.186694440000004,-76.92941667,southern,ontario,100,27.864253393665155,1.262443438914027,47.88235294117647
